     0.000	     0.000	     0.000	     0.000	     0.139	     0.139	     0.139	     0.000	     0.000	     0.000
     0.000	     0.000	     0.000	     0.000	     0.141	     0.141	     0.140	     0.000	     0.000	     0.000
     0.000	     0.000	     0.140	     0.143	     0.144	     0.144	     0.142	     0.000	     0.000	     0.000
     0.000	     0.000	     0.141	     0.145	     0.147	     0.146	     0.144	     0.000	     0.139	     0.137
     0.000	     0.000	     0.141	     0.146	     0.149	     0.148	     0.145	     0.000	     0.138	     0.136
     0.000	     0.000	     0.137	     0.143	     0.147	     0.146	     0.143	     0.000	     0.000	     0.135
     0.000	     0.127	     0.130	     0.135	     0.139	     0.139	     0.138	     0.136	     0.000	     0.134
     0.121	     0.121	     0.122	     0.125	     0.129	     0.131	     0.132	     0.133	     0.000	     0.133
     0.117	     0.114	     0.113	     0.116	     0.121	     0.125	     0.128	     0.130	     0.131	     0.000
     0.115	     0.111	     0.108	     0.111	     0.117	     0.122	     0.125	     0.128	     0.130	     0.000
     0.115	     0.111	     0.109	     0.112	     0.116	     0.120	     0.124	     0.127	     0.130	     0.000
     0.000	     0.115	     0.113	     0.113	     0.115	     0.119	     0.124	     0.128	     0.131	     0.133
     0.000	     0.117	     0.115	     0.112	     0.112	     0.119	     0.125	     0.129	     0.132	     0.134
     0.000	     0.120	     0.118	     0.115	     0.116	     0.123	     0.127	     0.131	     0.135	     0.000
     0.000	     0.000	     0.123	     0.122	     0.124	     0.127	     0.128	     0.133	     0.139	     0.000
     0.000	     0.000	     0.000	     0.129	     0.130	     0.129	     0.128	     0.138	     0.000	     0.150
     0.000	     0.000	     0.000	     0.000	     0.135	     0.137	     0.142	     0.000	     0.167	     0.161
     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.156	     0.176	     0.185	     0.171
