0.000	0.000	0.000	0.000	0.182	0.200	0.200	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.163	0.200	0.200	0.000	0.050	0.050
0.000	0.000	0.100	0.050	0.125	0.200	0.200	0.000	0.050	0.050
0.000	0.000	0.300	0.050	0.125	0.200	0.200	0.000	0.050	0.050
0.000	0.000	0.350	0.050	1.500	0.200	0.200	0.000	0.050	0.050
0.000	0.000	0.250	0.050	1.500	0.200	0.200	0.000	0.050	0.050
0.000	0.103	0.200	0.200	1.500	0.200	0.200	0.850	0.000	0.050
0.020	0.005	0.050	0.800	1.500	0.200	1.000	1.500	0.000	0.050
0.080	0.090	3.500	0.200	0.900	0.300	1.000	1.500	0.100	0.000
0.090	0.100	5.000	0.200	2.500	0.500	0.200	0.100	0.100	0.000
0.150	0.070	0.300	0.200	2.500	0.500	0.500	0.300	0.100	0.000
0.000	0.100	0.500	0.100	2.500	0.500	0.200	0.100	0.100	0.075
0.000	4.000	0.050	0.200	2.000	0.500	0.300	0.100	0.200	0.125
0.000	0.300	0.200	0.400	0.200	0.300	0.200	0.100	0.200	0.000
0.000	0.000	0.040	55.000	0.100	0.200	0.200	0.100	0.300	0.000
0.000	0.000	0.000	110.000	45.000	0.100	0.100	0.100	0.000	0.050
0.000	0.000	0.000	0.000	180.000	0.350	0.100	0.000	0.050	0.050
0.000	0.000	0.000	0.000	0.000	0.000	4.000	0.300	0.050	0.050
