     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
     0.000	     0.000	     0.000	     0.000	     0.000	    20.658	     0.000	     0.000	     0.000	     0.000
     0.000	     0.000	     0.000	     0.000	     0.000	    20.591	     0.000	     0.000	     0.000	     0.000
     0.000	     0.000	     0.000	     0.000	     0.000	    20.502	     0.000	     0.000	     0.000	     0.000
     0.000	     0.000	     0.000	     0.000	    20.408	    20.445	     0.000	     0.000	     0.000	     0.000
     0.000	     0.000	     0.000	     0.000	    20.518	    20.548	     0.000	     0.000	     0.000	     0.000
     0.000	     0.000	     0.000	     0.000	    20.936	    20.899	    20.952	     0.000	     0.000	     0.000
     0.000	     0.000	     0.000	    21.662	    21.511	    21.391	    21.306	     0.000	     0.000	     0.000
     0.000	     0.000	    22.060	    22.065	    22.017	    21.877	    21.673	    21.441	     0.000	     0.000
     0.000	     0.000	    22.058	    22.237	    22.469	    22.367	    22.026	    21.633	     0.000	     0.000
     0.000	     0.000	    22.199	    22.737	    23.301	    23.021	    22.359	    21.732	    21.254	     0.000
     0.000	     0.000	    23.505	    24.828	    25.096	    23.863	    22.526	    21.623	    21.074	    20.724
     0.000	     0.000	    24.696	    26.659	    26.673	    24.115	    22.077	    21.133	    20.696	    20.439
     0.000	     0.000	     0.000	    25.550	    25.107	    22.251	    20.553	    20.239	    20.173	     0.000
     0.000	     0.000	     0.000	    23.088	    21.829	    19.466	    18.805	    19.387	     0.000	     0.000
     0.000	     0.000	     0.000	     0.000	    20.382	    18.978	    18.624	     0.000	     0.000	     0.000
     0.000	     0.000	     0.000	     0.000	     0.000	    19.453	    19.169	     0.000	    19.004	    19.120
     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	    18.834	    18.641	    18.906
