0.000	0.000	0.000	0.000	0.794	1.000	0.775	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.830	0.825	0.750	0.000	0.943	0.943
0.000	0.000	0.616	0.655	0.810	0.653	0.688	0.000	0.943	0.943
0.000	0.000	0.713	0.585	0.812	0.653	0.726	0.000	0.943	0.943
0.000	0.000	0.818	0.638	0.696	0.635	0.718	0.000	0.943	0.943
0.000	0.000	0.829	0.718	0.725	0.672	0.738	0.000	0.943	0.943
0.000	0.567	0.678	0.718	0.754	0.672	0.738	0.696	0.000	0.943
0.405	0.612	0.632	0.754	0.756	0.700	0.653	0.651	0.000	0.943
0.414	0.749	0.561	0.691	0.784	0.700	0.710	0.642	0.619	0.000
0.672	0.744	0.498	0.760	0.831	0.700	0.700	0.568	0.585	0.000
0.907	0.734	0.600	0.780	0.806	0.644	0.650	0.511	0.508	0.000
0.000	0.479	0.644	0.634	0.806	0.616	0.650	0.504	0.626	0.653
0.000	0.353	0.701	0.696	0.845	0.720	0.653	0.504	0.588	0.868
0.000	0.770	0.745	0.701	0.918	0.602	0.642	0.540	0.740	0.000
0.000	0.000	0.551	0.832	0.638	0.526	0.651	0.547	0.578	0.000
0.000	0.000	0.000	0.640	0.547	0.644	0.632	0.547	0.000	0.551
0.000	0.000	0.000	0.000	0.630	0.773	0.590	0.000	0.578	0.551
0.000	0.000	0.000	0.000	0.000	0.000	0.590	0.760	0.578	0.551

